x_cam,y_cam,z_cam,imu_roll,imu_pitch,imu_yaw,v_bullet
0.089378,0.213464,3.887989,-0.890249,-2.557544,152.707306,24.425287
-0.015478,0.404508,5.529733,-0.532946,-0.608344,-170.109528,24.033930
-0.015505,0.398314,5.533869,-0.653188,-0.729639,-170.954346,24.519230
0.042555,0.353640,5.329741,-0.773780,-1.129594,-175.328949,24.262608
0.051957,0.426102,5.522854,-0.522036,-0.359504,-178.088928,24.170616
0.052569,0.403428,5.326175,-0.604792,-1.132206,-178.013657,25.172754
0.057141,0.426097,5.522722,-1.458006,0.834683,-178.449341,24.673439
0.067663,0.704337,6.832853,-1.394946,2.436576,-176.251633,23.798414
0.067663,0.704337,6.832853,-1.165888,2.288830,-176.140793,23.798414
0.067663,0.704337,6.832853,-1.034186,2.161550,-176.112732,23.798414
0.067563,0.699823,6.820369,-0.596928,1.853021,-176.381699,24.228029
0.067563,0.699823,6.820369,0.038181,0.318525,-176.321167,24.963289
0.074090,0.704326,6.832648,-0.242853,1.317789,-176.459457,24.902344
0.067655,0.672322,6.522145,-0.822286,2.042519,-176.929474,24.902344
0.066451,0.662771,6.415940,-1.281761,2.431165,-177.416733,24.193548
0.066967,0.669100,6.462401,-1.145169,2.355666,-177.360184,24.193548
0.067586,0.695569,6.827284,-1.251084,2.348583,-179.700378,25.049116
0.067545,0.661473,6.823858,-0.370368,1.312561,-179.905334,24.228029
0.067559,0.624263,6.520587,-0.607816,0.812003,179.752487,24.239544
0.066837,0.616720,6.457722,-0.376741,0.831326,179.638657,24.239544
0.067588,0.654053,6.830483,-0.335049,0.768420,179.599182,24.239544
0.066837,0.616720,6.457722,-0.441442,0.807514,179.540848,24.239544
0.134447,0.622182,7.149403,-0.812957,0.525408,164.016617,25.360518
0.134395,0.618385,7.143160,-1.215840,1.246344,163.623215,25.360518
0.134346,0.619952,7.141788,-1.573113,1.663723,163.281677,25.360518
0.121356,0.613720,7.167543,-1.810667,1.591163,163.673676,24.124882
0.121471,0.612694,7.175283,-1.717673,1.538456,163.756485,24.124882
0.002372,0.092285,2.483748,-1.713392,-5.567778,-174.902130,25.160336
0.003505,0.092399,2.440674,-1.645540,-6.034150,-175.006683,25.310173
0.004747,0.095656,2.480908,-0.619570,-5.819541,-175.149353,25.310173
0.004731,0.096291,2.482479,-0.328528,-5.958847,-175.036942,24.721279
0.004737,0.096848,2.481480,-0.441054,-5.553859,-175.098892,24.721279
0.009374,0.097474,2.482727,-0.423445,-5.291667,-175.148560,24.721279
0.016352,0.097471,2.482583,-0.509067,-4.760740,-175.117767,24.721279
0.023313,0.096911,2.483134,-0.621913,-4.443413,-175.092468,24.721279
0.023330,0.097468,2.482406,-0.788718,-4.303277,-175.125458,24.721279
0.025655,0.095352,2.480497,-0.978659,-4.202157,-175.173233,24.721279
0.027988,0.095647,2.480408,-1.696758,-5.745898,-175.286606,24.865919
0.027988,0.095647,2.480408,-1.375490,-5.503345,-175.292419,24.865919
0.026369,0.096945,2.440009,-1.135535,-5.675670,-175.332870,24.865919
0.030922,0.099831,2.440635,-0.809556,-5.155499,-175.333984,24.709303
0.037292,0.121758,2.480627,-0.572968,-4.606151,-175.248825,24.709303
0.037275,0.124712,2.481517,-0.427319,-4.407965,-175.291824,24.709303
0.037282,0.127522,2.479823,-0.266072,-4.338728,-175.356964,24.578314
0.037290,0.128055,2.478784,-0.312733,-4.134901,-175.459290,24.483917
0.036624,0.132374,2.522568,-0.759924,-4.751645,-175.522675,23.842916
0.037294,0.131024,2.480198,-0.754054,-4.428584,-175.468994,24.613899
0.037294,0.131024,2.480198,-0.935652,-3.953660,-175.512375,24.613899
0.037294,0.131024,2.480198,-1.117096,-3.715578,-175.564194,24.613899
0.037294,0.131024,2.480198,-1.118785,-3.824826,-175.545242,24.613899
0.037294,0.131024,2.480198,-1.338865,-3.504197,-175.532913,24.613899
0.037294,0.131024,2.480198,-1.315407,-3.492372,-175.511215,24.613899
0.037294,0.131024,2.480198,-1.166857,-3.576073,-175.502151,24.613899
0.037294,0.131024,2.480198,-1.057567,-3.693367,-175.498398,24.613899
0.129710,0.462146,5.517365,-1.024304,0.910967,-173.689117,24.378586
0.129537,0.453809,5.510762,-0.449433,0.144512,-174.125168,25.373135
0.129780,0.455996,5.521536,-0.645252,0.339068,-174.177658,25.373135
0.129780,0.455996,5.521536,-0.927370,0.698480,-174.253265,25.373135
0.129749,0.458429,5.521328,-1.203849,0.911299,-174.329391,25.373135
0.129708,0.456982,5.517753,-1.491895,1.064045,-174.415268,25.373135
0.129708,0.456982,5.517753,-1.698788,1.101673,-174.477356,25.373135
0.137654,0.474176,5.741720,-1.701988,1.144617,-174.473633,25.373135
0.775836,-0.099052,1.375860,-1.354526,0.360164,-174.419174,23.787313
0.129847,0.460170,5.524818,-1.172286,0.139345,-174.427063,23.787313
0.129708,0.456982,5.517753,-1.008624,0.048999,-174.444092,23.787313
0.129708,0.456982,5.517753,-0.824448,0.088864,-174.495712,23.787313
