x_cam,y_cam,z_cam,imu_roll,imu_pitch,imu_yaw,v_bullet
0.079896,0.240952,4.127331,-0.428643,-1.300742,155.233688,24.401915
0.080029,0.230492,4.592848,-0.692446,-1.098628,155.171951,23.611111
0.062301,0.258946,4.679016,-0.543212,-1.120315,156.089767,24.709303
0.081847,0.245329,4.510721,-0.956615,-0.595186,156.008148,24.531025
0.065229,0.208850,3.550516,-0.963858,-1.459652,148.145432,23.496504
0.065413,0.199590,3.392417,-0.751276,-1.530880,149.290665,24.483917
0.050229,0.211040,3.335305,-0.501824,-1.614854,150.021576,24.308867
0.067275,0.290228,4.778927,-0.725506,-0.517292,137.889404,23.728813
0.051349,0.191770,3.420232,-0.611914,-2.051460,136.217285,23.204420
0.048022,0.196309,3.415649,-1.169017,-2.418649,138.020584,22.641510
0.047427,0.199607,3.487327,-0.940859,-1.861927,138.408508,22.982216
-0.013811,0.132361,2.727597,-1.163162,-2.647609,122.984756,23.140495
0.041756,0.156891,2.975991,-0.860951,-2.924630,123.887665,23.333334
-0.041947,0.132374,2.727719,-1.211041,-2.509366,125.401863,22.919508
0.021271,0.175214,3.489433,-1.048084,-2.104192,121.099121,23.430962
-0.041128,0.143558,3.103679,-0.817389,-4.773181,120.078056,23.140495
0.044799,0.190449,3.982639,-1.245106,-1.522061,154.869263,23.236515
0.052666,0.182689,3.877117,-1.066300,-1.549916,155.199127,22.795115
0.029769,0.187164,3.972553,-0.887061,-1.938228,155.342422,23.333334
